split,config_key,protocol,tau,policy_value
dev,backoff_eb,conditioned,0.0139932938495332,-0.0020230561961948313
dev,backoff_eb,conditioned,0.016159277516224944,-0.002247767482058008
dev,backoff_eb,conditioned,0.02009613253249013,-0.0011366140506110596
dev,backoff_eb,conditioned,0.024538404598998604,-0.0003764211290682371
dev,backoff_eb,conditioned,0.029760311307036887,0.0002969450150911337
dev,backoff_eb,conditioned,0.039994749096426835,-0.0006007432563925238
dev,backoff_eb,conditioned,0.0573595523936715,-0.00019869750196283513
dev,class_laplace,blind,-0.434736540654037,-0.028706115720133797
dev,class_laplace,blind,-0.24495833455600816,-0.008279581708967873
dev,class_laplace,blind,-0.1269787375891364,0.0035220636843140223
dev,class_laplace,blind,-0.03755441004587755,0.004719917023069806
dev,class_laplace,blind,-0.020202742230063422,0.0034611481577625095
dev,class_laplace,blind,-0.013441543038951665,0.0025344401784825102
dev,class_laplace,blind,-0.007550761007992249,0.0014323614140663028
dev,class_laplace,blind,-0.0032870172677868206,0.000595162981729896
dev,class_laplace,blind,-0.00037761908931893196,0.0007190882318819579
dev,class_laplace,blind,0.0,0.00046866034452444335
dev,class_laplace,blind,0.001786419192361549,0.001493849304028813
dev,class_laplace,blind,0.0035848445903540337,0.001397069204937328
dev,class_laplace,blind,0.005062153482584685,0.0007894448819205305
dev,class_laplace,blind,0.006686183200250377,0.0015019362903313951
dev,class_laplace,blind,0.01041445863471507,0.0008950300257781457
dev,class_laplace,blind,0.016089685449938437,0.00020312921941093517
dev,class_laplace,blind,0.01993815114980543,0.0006816493212989878
dev,class_laplace,blind,0.02672217513291591,0.001491706012558414
dev,class_laplace,blind,0.03454064207955882,0.000956499698020074
dev,class_laplace,blind,0.05296083549032461,0.0003648645078126913
dev,class_laplace,conditioned,-0.21159948846116167,0.00449617996484882
dev,class_laplace,conditioned,-0.07174600910623781,0.017579039109164273
dev,class_laplace,conditioned,-0.04041690099182484,0.019249086142707393
dev,class_laplace,conditioned,-0.017943782097789625,0.019967926566877334
dev,class_laplace,conditioned,-0.009539550694008251,0.021311142928547994
dev,class_laplace,conditioned,-0.0050091862816576665,0.019769385737311504
dev,class_laplace,conditioned,-0.0005941927510576207,0.017343528498676503
dev,class_laplace,conditioned,0.0,0.016976404059269586
dev,class_laplace,conditioned,0.002202283344017747,0.016856539118626276
dev,class_laplace,conditioned,0.004303318641071254,0.01561316231201435
dev,class_laplace,conditioned,0.007668122226952437,0.01642410471147878
dev,class_laplace,conditioned,0.011152098042080583,0.015599891029555222
dev,class_laplace,conditioned,0.015150261190906063,0.015323097616153825
dev,class_laplace,conditioned,0.018680761481569802,0.01664634044267541
dev,class_laplace,conditioned,0.022141627974417665,0.01240816142491786
dev,class_laplace,conditioned,0.02594286570272681,0.010581370057730839
dev,class_laplace,conditioned,0.029848083080670433,0.01007096063007008
dev,class_laplace,conditioned,0.0375360856542184,0.01234322038937512
dev,class_laplace,conditioned,0.04904929207563907,0.011221991997901175
dev,class_laplace,conditioned,0.0685501278283641,0.003012129505599928
dev,global_laplace,blind,-0.28481798658006285,-0.005758843428475729
dev,global_laplace,blind,-0.12896246342009757,0.0033769034152868025
dev,global_laplace,blind,-0.05925497836571506,0.005719936122901761
dev,global_laplace,blind,-0.0315722767053162,0.0051486987305285415
dev,global_laplace,blind,-0.017785739796515612,0.00408308530302257
dev,global_laplace,blind,-0.013149404626537858,0.0020871214732107323
dev,global_laplace,blind,-0.009332312383720622,0.003470199281892806
dev,global_laplace,blind,-0.005569163019526255,0.0019208512803230166
dev,global_laplace,blind,-0.0016506273495405317,-0.0006198135195854689
dev,global_laplace,blind,0.0,-5.388540160319648e-05
dev,global_laplace,blind,0.0006045349502209087,-0.0015831130051687594
dev,global_laplace,blind,0.0035607276831232915,-0.0008135219819867125
dev,global_laplace,blind,0.005406140641148571,-0.0009056422684259923
dev,global_laplace,blind,0.00846703614225904,-0.0005464758899144618
dev,global_laplace,blind,0.011489841923831448,0.00025200283265786484
dev,global_laplace,blind,0.016114881779970627,-8.839831270020583e-05
dev,global_laplace,blind,0.019949357044918528,0.0015710638514880475
dev,global_laplace,blind,0.024683978702174817,0.001765460196333619
