feature,direction,threshold,dev_policy,pct_open
semantic_lift_corr,below,-0.019488924723070983,-0.014241535118654143,0.29997588618278276
pool_std,below,0.07709667293188986,-0.014291192490040667,0.7021943573667712
semantic_std,below,0.07709667668190566,-0.014291192490040667,0.7021943573667712
semantic_std,below,0.09029399675201569,-0.014317041682045747,0.8025078369905956
pool_std,below,0.0902939851706089,-0.014317041682045747,0.8025078369905956
retrieval_margin,below,0.035223960876464844,-0.014329454511015968,0.7021943573667712
max_lift_global,below,0.13937070738164134,-0.014396526921052717,0.8041958041958042
max_lift_global,below,0.0994306974726109,-0.015114082381477809,0.7005063901615626
evidence_team_top5,below,209.0,-0.015187333182330473,0.7009886665059079
evidence_intersection_top5,below,158.0,-0.01526874526508722,0.8010610079575596
score_lift_corr,below,-0.09638245778736473,-0.01541328407718039,0.2001446829033036
semantic_lift_corr,below,-0.09638244407986167,-0.01541328407718039,0.2001446829033036
evidence_team_top5,below,252.0,-0.015553102417360997,0.802990113334941
top5_std_score,below,0.041568849690203066,-0.015572872269770196,0.7021943573667712
max_lift_class,below,0.19276190476190475,-0.015574126994614145,0.6016397395707741
semantic_std,below,0.0669267853062606,-0.01650516205443254,0.6018808777429467
pool_std,below,0.06692678911074529,-0.01650516205443254,0.6018808777429467
top5_std_score,below,0.03172232532683052,-0.01661218940935021,0.6018808777429467
retrieval_margin,below,0.003527343273162842,-0.01690841448312068,0.30094043887147337
lift_max,below,0.19430999999999998,-0.016953209328391276,0.7021943573667712
max_lift_global,below,0.04535433070866146,-0.017081325856215527,0.6004340487099108
top5_std_score,below,0.023897496287855414,-0.017218042538737804,0.5015673981191222
semantic_std,below,0.05711425190068212,-0.01763567756317971,0.5015673981191222
pool_std,below,0.05711426616837204,-0.01763567756317971,0.5015673981191222
max_lift_global,below,-0.008749999999999992,-0.01780522613909005,0.5008439836026043
pool_std,below,0.04833901015749494,-0.018216871574057537,0.4012539184952978
semantic_std,below,0.04833900795438348,-0.018216871574057537,0.4012539184952978
retrieval_margin,below,0.0233917236328125,-0.018248613156631593,0.6018808777429467
max_lift_global,below,-0.04588978328173376,-0.018576204517152414,0.40004822763443454
top5_std_score,below,0.017711664372854968,-0.018893480984516996,0.4012539184952978
retrieval_margin,below,0.013376355171203613,-0.01897465148844114,0.5015673981191222
pool_std,below,0.039682468487553774,-0.019823909730207843,0.30094043887147337
semantic_std,below,0.039682450563778206,-0.019823909730207843,0.30094043887147337
retrieval_margin,below,0.007025480270385742,-0.020253317496641186,0.4012539184952978
pool_std,below,0.023002234093417135,-0.02064250746918409,0.2006269592476489
semantic_std,below,0.02300222556048268,-0.02064250746918409,0.2006269592476489
top5_std_score,below,0.01115018267758309,-0.022406538803339694,0.30094043887147337
top5_std_score,below,0.0033085634208992586,-0.023472157033209286,0.2006269592476489
